class,text
Neg-,2 BANKERS HOPEFUL ON PHILIPPINE DEBT TALKS     MIAMI  March 23 - The Philippines and its commercial bank advisory committee will resume talks tomorrow on what bankers hope will be the final leg of negotiations for a 94 billion dlr debt rescheduling package     Bankers  attending the Inter-American Development Bank annual meeting here  said the two sides are still working on a plan that embraces Manilas proposal to pay interest partly with Philippine investment notes PIN instead of cash     One senior banker said he hoped that final agreement would be reached this week but cautioned that a number of major issues are still outstanding     The senior banker said that the remaining issues include interest rates and the exact form of the investment notes plan     However  bankers did not anticipate any accounting problems for this novel interest payment method     Deputy US Comptoller of the Currency Robert Bench said last week that US bank regulators also had no objection in principle to the PINs concept because Manila has guaranteed their ready conversion into cash  Reuter 3
Neg-,2 MOODYS CONTINUES REVIEW OF TEXAS AIR ltTEX UNIT     NEW YORK  March 23 - Moodys Investors Service Inc said the debt ratings of People Express Airlines Inc remain under review for possible downgrade     The agency said that People Express has not legally merged with Continental Airlines Inc  a unit of Texas Air Corp  even though the two have integrated their flight operations Moodys also cited significant litigation against People     Moodys pointed out that neither Texas Air nor Continental have assumed the debt service obligations of People Express  which currently carries B-3 senior secured debt and Caa senior unsecured debt  Reuter 3
Pos-earn,2 AUDITORS LIFT QUALIFICATION ON BRUNSWICK ltBC     CHICAGO  March 23 - Auditors of Brunswick Corp lifted a four year qualification on the companys financial statements  vice president-finance Frederick Florjancic told securities analysts here     The financial results for the diversified leisure and defenseaerospace company had been qualifed by Arthur Andersen and Co since 1982     The qualification related to certain tax liabilities  amounting to 65 mln dlrs  associated with a medical division sold by Brunswick in 1982  he said  Reuter 3
Neg-,2 COCA-COLA ENTERPRISES ltCCE SELLS DEBT     NEW YORK  March 23 - Coca-Cola Enterprises Inc is raising 600 mln dlrs through offerings of 10-year notes and debentures due 2017  said lead manager Salomon Brothers Inc     A 300 mln dlr issue of notes was given a 7-78 pct coupon and priced at 9965 to yield 7926 pct  or 70 basis points over Treasuries The notes are non-callable for seven years     An equal-sized offering of debentures was assigned an 8-34 pct coupon and priced at 9940 to yield 8807 pct  or 115 basis points over the off-the-run 9-14 pct Treasury bonds of 2016 Non-refundable for 10 years  the debentures will be subject to a sinking fund beginning in 1998     The sinking fund for the debentures will retire five pct of them a year The issuer has an option to increase the sinker by 200 pct  giving the debentures an estimated average life of 215 years  Salomon said     Moodys Investors Service Inc rates the issue A-2  compared to a AA-minus rating by Standard and Poors Corp     Allen and Co Inc and Merrill Lynch Capital Markets co-managed the two issues  which were each increased from initial offerings of 250 mln dlrs  Reuter 3
Pos-earn,2 ALC ltALCC ANTICIPATES 1ST QTR PROFIT     BIRMINGHAM  Mich  March 23 - ALC Communications Corp said that because of strong traffic growth and cost reductions it anticipates reporting a profit for the first quarter of 1987  versus a loss of 14 mln dlrs  or 15 cts a share  for the first quarter of 1986     Earlier  the company reported a net after-tax loss for 1986 of 608 mln dlrs  or 463 dlrs a share  compared with a loss of 289 mln dlrs  or 243 dlrs a share  in 1985      Reuter 3
Neg-,2 CORRECTION - MOODYS CUTS TEXAS AIR     In New York item headlined Moodys Cuts Texas Air ltTEX  Affirms Eastern  Moodys corrects that it lowered Texas Airs senior unsecured debt to B-3 from B-2  not the companys senior secured debt  Reuter 3  
Pos-acq,2 CAESARS ltCAW HAS NO COMMENT ON MTS TALKS     LOS ANGELES  March 23 - Caesars World Inc declined immediate comment on news that Martin Sosnoffs ltMTS Acquisition Corp has held preliminary talks with two companies on the possibility of forming a joint venture to pursue the acquisition of Caesars     Earlier today MTS said it held talks with Pratt Hotel Corp ltPRAT and Southmark Corp ltSM on forming a venture to acquire Caesars     MTS also reported that it received a negligible number of Caesars World shares in response to its 28 dlr per share tender offer     Earlier this month Caesars World rejected the Sosnoff takeover bid and said it is considering alternatives that include a restructuring or sale of the company to another party  Reuter 3
Pos-earn,2 SAXON OIL DEVELOPMENT PARTNERS ltSAX IN PAYOUT     DALLAS  March 23 -     Qtly div two cts vs two cts prior     Pay May 15     Record March 31     NOTE Full name Saxon Oil Development Partners LP  Reuter 3
Neg-,2 UNOCAL ltUCL SELLS SEVEN AND 10-YEAR NOTES     NEW YORK  March 23 - Unocal Corp is raising 450 mln dlrs through a two-tranche offering of notes  said lead manager Merrill Lynch Capital Markets     A 150 mln issue of seven-year notes was given an 8-12 pct coupon and par pricing to yield 145 basis points more than comparable Treasuries They are non-callable for life     A 300 mln dlr offering of notes due 1997 was assigned an 8-34 pct coupon and priced at 99447 to yield 8834 pct  or 160 basis points over Treasuries Non-callable for seven years  this issue was doubled from an initial offering of 150 mln dlrs  Merrill said     Moodys Investors Service Inc rates the Unocal notes Baa-3 and Standard and Poors Corp rates them BBB-minus     Shearson Lehman Brothers Inc co-managed the two-tranche deal  Reuter 3
Pos-acq,2 CITICORP CCI SEEKS CYCLOPS ltCYL STEEL UNIT     WASHINGTON  March 23 - Citicorp Capital Investors Ltd  a unit of Citicorp  said it wants to buy Cyclops Corps steel assets from Dixons Group PLC and is willing to pay 1244 mln dlrs  nearly 13 mln dlrs more than had been offered for the assets by Alleghany Corp     The disclosure of the Citicorp units interest in Cyclops Industrial Group came in disclosure documents filed by Dixons Group with the Securities and Exchange Commission     Alleghanys MSL Industries Inc unit had agreed to buy the steel assets from Dixons Group for 1116 mln dlrs     Dixons Group has tendered for all outstanding Cyclops shares at 9025 dlrs a share in cash     The Citicorp unit said its higher offer came to about three dlrs more for each Cyclops share outstanding     As a condition of its offer  it said Dixons would have to increase the cash price it was to pay for each Cyclops share to 9325 dlrs in cash     Dixons on Friday extended the expiration time of its tender offer until midnight EST March 24  Reuter 3
Pos-earn,2 WEATHERFORD ltWII SUSPENDS PREFERRED PAYOUTS     HOUSTON  March 23 - Weatherford International said it suspended indefinitely payment of its regular quarterly dividend of 656 cts per share on its 2625 convertible exchangeable cumulative preferred stock     Weatherford said this will be the sixth non-payment of the dividend on the stock It said payment would have been on April 15  1987     Weatherford also said the holders of the preferred stock will have the right to elect two additional directors to the board of directors  Reuter 3
Pos-acq,2 HARCOURT ltHBJ DISAPPOINTED WITH HARPER ltHPR     NEW YORK  March 23 - Harcourt Brace Jovanovich Inc said it is disappointed that no negotiations with Harper and Row Publishers Inc are underway     Harcourt made a 50 dlrs a share unsolicited bid on March 11     On March 17  Harcourt said three of its officers met with Harpers financial advisor but has had no discussions since then     Harcourt said it does not plan to increase its bid     Harcourts bid was preceded by an earlier 34 dlrs a share bid by Theodore Cross     Harper had no response to Harcourts announcement Earlier today  Harper said a recently appointed special committee of independent directors had received expressions of interest from several domestic and foreign firms with respect to restructuring or acquisition transactions     Harper said no determination had been made as to any transaction and that its special committee is continuing in talks with interested parties in an effort to come to a conclusion in the near future  Reuter 3
Pos-earn,2 DRIVER-HARRIS CO ltDRH 4TH QTR NET     HARRISON  NJ  March 23 -     Shr profit 22 cts vs loss 215 dlrs     Net profit 271 000 vs loss 2 530 000     Revs 163 mln vs 152 mln     Avg shr 1 238 000 and 1 177 000     12 mths     Shr profit 82 cts vs loss 214 dlrs     Net profit 982 000 vs loss 2 517 000     Revs 665 mln vs 645 mln     Avg shrs 1 193 000 vs 1 177 000     NOTE net loss 1985 yr and qtr includes a charge of 1 042 000  or 89 cts per share  for expenses related to restructuring of companys domestic alloy business  Reuter 3
Pos-earn,2 AMBRIT INC ltABI 4TH QTR JAN 31 NET     CLEARWATER  Fla  March 23 -     Shr 28 cts vs nil     Net 3 614 000 vs 7 000     Revs 375 mln vs 7 835 000     Year     Shr 13 cts vs nil     Net 1 601 000 vs 30 000     Revs 1455 mln vs 51 mln     NOTE Per share amounts are after payment of preferred stock dividends  Reuter 3
Neg-,2 SP UPGRADES WEYERHAUSER ltWY MARKET PREFERRED     NEW YORK  March 23 - Standard and Poors Corp said it raised to A-plus from A Weyerhauser Cos 150 mln dlrs of market auction preferred stock  series A and B     S and P assigned an A rating to the companys 200 mln dlrs of convertible exchangeable preference stock  and affirmed its A-plus senior debt and A-1 commercial paper Weyerhauser has about 16 billion dlrs of debt securities outstanding     It said the action reflected the preferreds diminished importance in the capital structure following the recent conversion of 280 dlr convertible cumulative preferred shares  which had a 200 mln dlr liquidiating value  Reuter 3
Neg-,2 US WILLING TO TALK TO MOSCOW ON WHEAT PRICE     WASHINGTON  MARCH 23 - US Agriculture undersecretary Dan Amstutz indicated the United States is willing talk with the Soviet Union about the competitiveness of US wheat prices but would not discuss making US wheat prices cheap     There sometimes is a difference between being competitive and being cheap  Amstutz told a Senate Agriculture Appropriations hearing     Amstutz said the difference of opinion between Moscow and Washington last summer on the level of the US subsidy offered on wheat to the Soviet Union  was over whether the US wheat price was competitive or cheap     I think there is a US willingness to explore this issue as it pertains to competitiveness  Amstutz said     However  Amstutz added that the United States would not be willing to discuss wheat prices with Moscow if the issue is being cheap     Asked later by a reporter what he meant by the distinction between competitive and cheap  Amstutz would not elaborate     Amstutz said it is the US judgment that the long-term grain agreement between the two countries calls for Moscow to buy at least four mln tonnes each of wheat and corn annually at prices in effect in this country     Amstutz made the comments in response to a question from Sen Charles Grassley  R-Iowa  about expanding the export enhancement program to include grain sales to the Soviet Union  Reuter 3
Pos-earn,2 UNITED ILLUMINATING CO ltUIL TWO MONTHS FEB 28     NEW HAVEN  Conn  March 23 -     Shr 151 dlr  vs 108 dlr     Net 231 mln vs 182 mln     Oper revs 811 mln vs 865 mln     12 mths     Shr 641 dlrs vs 577 dlrs     Net 1065 mln vs 992 mln     Oper revs 4658 mln vs 5098 mln     NOTE 1987 periods do not reflect the terms of earnings stipulation agreement among the company and various departments submitted for approval on March 18      Reuter 3
Pos-acq,2 QUAKER OATS ltOAT SELLS VERNELLS FINE CANDIES     CHICAGO  March 23 - Quaker Oats Co said Keystone Partners Inc has purchased Vernells Fine Candies Inc  previously an indirect subsidiary of Quaker The price was not disclosed     It said Vernells  based in Bellevue  Wash  had annual sales exceeding 30 mln dlrs Vernells was acquired by Quaker in its acquisition of Golden Grain Macaroni Co in August 1986  Reuter 3
Pos-earn,2 UNITED ltUIL PACT MAY LOWER NONCASH INCOME     NEW HAVEN  Conn  March 23 - United Illuminating Co said that if the Department of Utility Controls approves an earnings stipulation agreement submitted March 18  it will reduce through accounting procedures its 1987 noncash earnings by 16 mln dlrs or 115 dlr per share     For the two month period ended February 28  1987  it said the amount of the reduction would amount to 19 cts per share Earlier  it reported net income for the two-month period of 231 mln dlrs of 151 dlr a share     United said the approval would lead it to an equity return level comparable with the electric utility industry average  Reuter 3
Neg-,2 AMSTUTZ SAYS FARM TRADE ACCORD POSSIBLE IN 1988     WASHINGTON  MARCH 23 - US Agriculture undersecretary Daniel Amstutz said it is possible to reach a global agreement to scale-back agricultural supports in calendar 1988     Speaking to a Senate Agriculture Appropriations committee hearing  Amstutz said I think we can reach agreement in calendar 1988     Amstutz said the US places a high priority on the Uruguay round of global trade talks     His comments followed a statement by Secretary of State George Shultz last week urging agriculture be the highest priority item during the upcoming summit of western heads of state in Venice  Italy  Reuter 3
Pos-acq,2 COOPER SAYS OFFER MUST INCLUDE CLASS A SHARES     TORONTO  March 23 - ltCooper Canada Ltd said it told those who have expressed interest in acquiring control of the company that it would entertain no offer unless it were made to holders both of class A non-voting shares and voting common  Reuter 3
Pos-earn,2 STERIVET LABS ltSTVTF SETS STOCK SPLIT     TORONTO  March 23 - Sterivet Laboratories Ltd said it authorized a three-for-one split of its common stock     The company said the stock split is subject to approval by its shareholders at its upcoming annual meeting  Reuter 3
Pos-earn,2 TCBY ENTERPRISES INC ltTCBY 1ST QTR FEB 28 NET     LITTLE ROCK  ARK  March 23 -     Shr eight cts vs five cts     Net 1 370 898 vs 823 988     Sales 7 786 730 vs 4 383 825     Avg shrs 17 744 333 vs 17 071 236     NOTE Per-share amounts adjusted for three-for-two stock splits in April and July  1986  Reuter 3
Pos-earn,2 SPRINT OPTIMISTIC DESPITE LOSSES     By Peter Elsworth     DALLAS  March 23 - US Sprint  the 50-50 telephone venture of GTE Corp ltGTE and United Telecommunications Inc ltUT set up last June  is optimistic despite expecting to report a net loss of about 500 mln dlrs this year      David M Holland  president of US Sprints Dallas-based Southwest Division  told Reuters in an interview that he did not know what it would report for the first quarter  but agreed that for the year the company should have about the same results as last year when it lost about 500 mln dlrs      He noted the company was slated to spend 23 billion dlrs over two plus years to set up its network      Holland added that Sprint was still paying almost 500 mln dlrs a year to American Telephone and Telegraph Co T in order to lease its lines      He said 16 000 miles of its 23 000 mile fiber optic telephone line are now in the ground  and 7 000 miles are operable      By the end of the year  he said  90 pct of the companys subscribers will be carried on its fiber optic lines instead of leased ATT lines  compared with 60 pct by the end of the second quarter     Fiber optic lines  which send digital light impulses along microscopic glass lines  is quicker  more accurate and more economical than traditional copper cables A fiber optic line the diameter of a dime can carry the same amount of information as a copper cable 20 feet in diameter      By the end of the year  we will have the capacity to carry 50 pct of all US long distance phone calls  Holland said     He said ATT currently controls about 80 pct of the US long distance market  with MCI Communications Corp ltMCIC about 10 to 12 pct and Sprint five to seven pct      Holland said Sprints rates  which were 50 pct lower than ATT when it did not pay to gain access to local telephone exchanges  were now about 10 to 12 pct lower now that all the companies have equal access He said the company was cutting back its advertising by about 30 pct this year      At the same time  he said Sprint had increased its total number of customers to four mln from two mln from July 1986 to last January     Weve captured the fiber high ground  shown the importance of it  he said      Concerning the deregulation of ATT  Holland said he believed ATT should be given some flexibility  but should be regulated on pricing plans      Theyre so dominant in the market place  he said  adding that ATT should be deregulated when there is true competition in the marketplace      It takes time to prove ourselves and a lot of money  he said  adding  maybe two to four years out  its hard to say     Holland said he was not concerned about talk that Sprints two owners might be squabbling or that corporate raiders  such as the Belzberg family in Canada  might be putting pressure on them to sell off their loss-making Sprint holdings      They are two excellent partners who have stated time and time again their support of US Sprint  he said  adding that he was amazed at industry talk that the two companies might be arguing Theres no evidence of that  he said      He said Sprints progress in such areas as revenues  number of customers and construction was on track  even ahead in many areas     Looking beyond the United States  Holland said Sprint currently had direct access to 34 countries and aimed to be in 90 pct of the Free World nations by 1988     We want to be in every country that ATT serves  he said     He said Sprint currently does not have access to Mexico but was working on it      He noted negotiations between Mexico and GTE Sprint  the forerunner of US Sprint  had been broken off by the September 1985 earthquake which had devastated the nations telephone network  Reuter 3
Neg-,2 US TO ASK JAPAN TO DROP BEEF RESTRICTIONS     STILLWATER  Okla  March 23 - US Agriculture Secretary Richard Lyng will ask the Japanese Government to remove all beef import restrictions when he visits there next month     Lyngs remarks came in a speech at Oklahoma State University today     We think Japanese consumers should have the same freedom of choice as our consumers Look at all the Japanese cameras and tape recorders in this room We know theyd buy more beef if they had the opportunity  Lyng said  Reuter 3
Pos-earn,2 BAY FINANCIAL CORP ltBAY 3RD QTR FEB 28     BOSTON  March 23 -     Shr loss 134 dlrs vs profit two cts     Net loss 45 mln vs profit 46 000     Revs 76 mln vs 89 mln     Nine months     Shr loss 141 dlrs vs loss two cts     Net loss 47 mln vs loss 76 000     Revs 302 mln vs 238 mln     NOTE1986 includes gain on disposition of investments of 2 454 dlrs in 3rd qtr and 5 306 dlrs in nine months respectively 1987 includes gain on disposition of investments of five dlrs in 3nd qtr and 7 052 dlrs in nine months  Reuter 3
Pos-earn,2 COMMUNICATIONS CORP OF AMERICA 2ND QTR DEC 31     DALLAS  March 23 -     Shr loss 33 cts vs loss 48 cts     Net loss 17 mln vs loss 25 mln     Revs 63 mln vs 102 mln     Six months     Shr loss 54 cts vs loss 75 cts     Net loss 28 mln vs loss 39 mln     Revs 152 mln vs 234 mln          Reuter 3
Neg-,2 WEST GERMANY SHARPLY BOOSTS AID TO BOLIVIA     LA PAZ  March 24 - West German aid to Bolivia will rise to 91 mln marks in 1987 from 50 mln in 1986  West German President Richard Von Weizsaecker said     Weizsaecker  speaking to the Bolivian Congress yesterday  said of Latin Americas 380 billion dlr foreign debt  Debtor countries and creditors must cooperate with the banks and international financial organizations to find long-term solutions Bolivias debts total 44 billion dlrs     We wish to reach a reasonable agreement with Bolivia so that the country can experience a significant financial respite  Weizsaecker said     The two countries earlier signed two technical and financial cooperation treaties West German officials said aid last year included 35 mln marks in financial cooperation     Bolivian Foreign Minister Guillermo Bedregal told reporters West Germany would provide 300 mln marks to help fight Bolivias cocaine trade     The illegal trade in cocaine is West Germanys most worrisome drug problem  West German officials said  REUTER 3
Neg-,2 TAIWAN COMPLAINS ABOUT SIZE OF RESERVES     By Chen Chien-kuo  Reuters     TAIPEI  March 24 - Taiwans foreign exchange reserves  swollen by strong trade surpluses to a record 53 billion US Dlrs  are becoming a problem  government officials said     Official figures show the latest level compares with the previous record of 51 billion dlrs on March 4 and about 26 billion in late March 1986     Central bank Governor Chang Chi-cheng told reporters the increase in reserves was the result of heavy intervention by the bank on the local interbank market It bought nearly two billion US Dlrs between March 5 and 23  he said     Wang Chao-ming  vice chairman of the governments Council for Economic Planning and Development  told Reuters the rising reserves were a big headache for Taiwan     He said the government expects heavier pressure from the US  Where protectionist bills are being proposed against nations such as Taiwan and Japan with large trade surpluses with the US     Wang said the government would launch new measures within the next two months to further reduce import tariffs and open the market wider to foreign products  especially those from the US     Wang said the measures aim at helping reduce Taiwans trade surplus  which rose to 273 billion US Dlrs in the first two months of 1987 from 202 billion a year earlier Nearly 90 pct of the surplus was with the US     Vice Economic Minister Wang Chien-shien agreed with Wangs remarks and said efforts to avert US Protectionism were running out of time We must do it quickly or face retaliation from Washington  he said     He said the measures would include removal of trade barriers on insurance and inland services for US Companies     Chang Chi-cheng said the central bank could not stop buying US Dollars because of heavy sales by local exporters who fear the strong local dollar will cause them exchange losses     He said the bank is studying revision of the foreign exchange rules in hope of further reducing currency controls  but declined to give details     The Taiwan dollar has risen about 15 pct against the US Dollar since September 1985 It opened at 3438 to the US Dollar today and is expected to rise further to 33 in June and to 32 by end-year  some foreign bankers said  REUTER 3
Pos-earn,2 SHELL AUSTRALIA REPORTS 4579 MLN DLR 1986 PROFIT     MELBOURNE  March 24 - Royal DutchShell Group ltRDAMS unit ltShell Australia Ltd  said its net profit fell to 4579 mln dlrs in 1986 from 6676 mln in 1985     Revenue fell to 455 billion dlrs from 491 billion  in an extremely competitive and over-regulated environment  chairman and chief executive Kevan Gosper said in a statement A 2625 mln dlr annual dividend would be paid to the parent after a very disappointing year     A return of 22 pct on funds employed represents a very meagre return  In an economy suffering from inflation of around 10 pct  he said     Gosper said the results reflected heavy reliance on downstream oil and chemicals  poor coal and metal returns and the financial burden of the North-West Shelf gas project     Duties  royalties and taxes rose to 137 billion dlrs against 85272 mln in 1985 and Gosper urged the government to move quickly to lift costly and unnecessary regulation     It is just as important for Australia to maintain a financially healthy  technically advanced refining and marketing industry as it is to sustain oil exploration and production  he said     The Australian oil industry has the experience and the capacity to serve the nation and its shareholders well if the government would stop putting roadblocks in our way  he said     Shell invested 500 mln dlrs over the past five years to upgrade its oil refining and marketing business  but further investment required an appropriate rate of return  he said     Exploration and evaluation spending in 1986 fell to 1877 mln dlrs from 2635 mln  while investment in property and plant rose to 37425 mln from 35394 mln a year earlier     Gosper said oil companies would be under intense pressure in 1987 because of forecast slow economic growth  REUTER 3
Neg-,2 UK  AUSTRALIA OFFER WHEAT TO BANGLADESH     DHAKA  March 24 - Britain and Australia have offered a total of 129 250 tonnes of wheat to Bangladesh as grants to contain rising cereal prices and help support rural employment projects  officials said     They said 79 250 tonnes of wheat promised by Britain would be shipped next week and used for the governments Food for Work program in the villages     Under the program  workers building roads  digging irrigation canals and engaged in other rural development activities get their daily wages in wheat instead of money     The 50 000 tonnes of Australian wheat would arrive in Bangladesh next month and be sold under open-market operations designed to stop price increases  the officials said     Prices of rice and wheat have risen at least 15 pct in the past month  market sources said But the government expects prices to fall after the wheat harvest next month  REUTER 3
Neg-,2 KUWAIT SAYS OPEC 24 MLN BPD BELOW CEILING     KUWAIT  March 24 - Kuwaiti oil minister Sheikh Ali al-Khalifa al-Sabah said OPEC was producing well below its oil output ceiling and this would help prices move higher  according to a Kuwaiti newspaper interview     The al-Rai al-Aam newspaper quoted him as saying OPEC was pumping 24 mln barrels per day bpd less than its 158 mln bpd ceiling  while consumers were drawing down their petroleum stocks at a rate of 45 mln bpd     As long as OPEC maintains its output curbs  demand for its oil will rise in April and May  Sheikh Ali said  adding that Kuwait was strongly committed to its OPEC quota  REUTER 3
Neg-,2 CHINA SAYS POSSIBLE GOOD HARVEST DESPITE DROUGHT     PEKING  March 24 - Chinas summer grain harvest may be good despite a serious drought because the State Council cabinet has spent one billion yuan on irrigation and other anti-drought work  a Hong Kong newspaper said     Wen Hui Bao said the drought  which has affected Shanxi  Hebei  Henan and Shandong the most  has eased with March rains in south China and March snowfall in the north and as some new irrigation projects have come into use     If the drought does not worsen  there is hope for a bumper harvest  it quoted experts of the Ministry of Electric Power as saying They gave no figures     The 1986 summer grain harvest was a record 93 mln tonnes  up from 92 mln in 1985  out of a total 1986 grain harvest of 391 mln The 1987 target is 405 mln  REUTER 3
Pos-earn,2 SANTOS LTD ltSTOSS YEAR END DEC 31 NET PROFIT 8867 DLRS VS 14404 MLN Blah blah blah 3  
Pos-earn,2 SANTOS LTD ltSTOSS YEAR ENDING DEC 31     ADELAIDE  March 24 -     Shr 370 cents vs 600     Final div deferred vs 11 cents 1985 full year 200     Pre-tax 17105 mln vs 23997 mln     Net 8867 mln vs 14404 mln     Turnover 40042 mln vs 50651 mln     Other income 8544 mln vs 7104 mln     Shrs 23899 vs same     NOTE - Final div deferred for tax advantage until after July 1 but not expected to be less than nine cents interim seven Net after tax 8238 mln vs 9592 mln  depreciation and amortisation 9329 mln vs 7619 mln  interest 9094 mln vs 11649 mln  minorities nil vs loss 10 000 but before extraordinary loss 649 mln vs loss 5340 mln  REUTER 3
Neg-,2 AMERICAN CAN ISSUING 150 MLN DLR CONVERTIBLE BOND     LONDON  March 24 - American Can Co ltACN is issuing a 150 mln dlr convertible eurobond due April 22  2002 carrying an indicated coupon of 5-12 to 5-78 pct priced at par  lead manager Morgan Stanley International said     Terms will be set this week with a conversion premium of 25 to 28 pct The bond is available in denominations of 1 000 and 10 000 dlrs and be listed in Luxembourg     There is no call for three years  subsequently at par plus the coupon  declining by equal amounts per annum until 1997     Fees comprise 1-12 pct selling concession and one pct management and underwriting combined  REUTER 3
Neg-,2 FRENCH BONDS FOR 445 BILLION FRANCS APPROVED     PARIS  March 24 - French domestic bond issues totalling 445 billion francs have been approved by the bond issuing committee for publication in the Official Bulletin of March 30  the committee announced     The largest of the issues will be a three-billion franc bond for the Caisse dAide a lEquipement des Collectivites Locales CAECL  comprising a two-billion franc fixed-rate tranche and a one billion franc variable-rate tranche     Financement Local et Regional FLORAL  a finance house managed by CAECL  will issue an 800 mln franc bond and Caisse Nationale de lEnergie will issue a 650 mln franc bond  of which one of the lead-managers will be Banque Nationale de Paris     Details will be released later  the committee said  REUTER 3
Neg-,2 KYUSHU ELECTRIC POWER ISSUES YEN BONDS LONDON  March 24 - Kyushu Electric Power Co Inc is issuing a 20 billion yen bond due April 22  1994 carrying a coupon of 4-34 pct and priced at 101-58 pct  said Nomura Securities Co Ltd as lead manager     The securities are available in denominations of one mln yen each and will be listed on the Luxembourg stock exchange Payment date is April 22  1987     There is a 1-14 pct selling concession and combined management and underwriting fees total 58 pct  REUTER 3  
Neg-,2 PHILIPPINE TRADE SECRETARY PLEASED WITH GATT TALKS     By Christopher Pritchett  Reuters     TAUPO  New Zealand  March 24 - Philippine Secretary of Trade and Industry Jose Concepcion  who two days ago expressed doubts about agreements produced at international conferences  said he was pleased with the latest gathering here     Concepcion told Reuters in an interview that the informal General Agreement on Tariffs and Trade GATT meeting gave ministers from more than 20 nations the chance to examine issues with which GATT did not have the political will to deal     Also  the role of the developing countries has been emphasised in this particular meeting Somehow it has been the perception of developing countries that GATT is a club of rich countries  he added in an interview with Reuters     In fact many of the issues that have been tabled for discussion in the Uruguay round of trade negotiations will be of more benefit to the developed countries  he said     Concepcion said at the start of the Taupo meeting that the Uruguay round was meant to be a shining act of faith in the world trade system     Concepcion said the Philippines would address the issues of trade in tropical fruit and the improvement of GATT machinery to make it more responsive     He said tropical fruit came from developing countries but faced non-tariff barriers  quantitative restrictions or very high duties in other nations Concepcion named Japan and South Korea as examples     He said he would go to Wellington for talks with New Zealand  which had a surplus in trade with the Philippines  to encourage it to switch imports from other countries He noted that New Zealand bought its bananas from Ecuador  REUTER 3
Pos-earn,2 BRITISH AEROSPACE PLC ltBAELL 1986 YEAR     LONDON  March 24 -     Shr 514p vs 564p     Div 110p making 174p  a 10 pct increase on 1985     Turnover 314 billion stg vs 265 billion     Pretax profit 1822 mln vs 1505 mln     Tax 538 mln vs 235 mln     Note - comparisons restated     Trading profit 2172 mln vs 2111 mln     Launching costs 476 mln vs 516 mln     Share of profit of related companies 36 mln vs 34 mln     Net interest receivable 90 mln vs 124 mln payable     Extraordinary debit 441 mln vs nil     Trading profit includes  -     Civil aircraft 77 mln loss vs 25 mln loss     Military aircraft and support services 1460 mln vs 1483 mln     Guided weapon and electronic systems 1397 mln vs 1278 mln     Space and communications 19 mln vs 20 mln loss     Company funded research and development 627 mln loss vs 549 mln     Reorganisation costs nil vs 56 mln loss     Launch costs include -     BAe 146 171 mln vs 273 mln     Airbus 194 mln vs 69 mln     BAe 125-800 03 mln vs 15 mln     ATP 108 mln vs 159 mln  REUTER 3
Neg-,2 SOUTH AFRICA SETS NEWS CONFERENCE ON DEBT     PRETORIA  March 24 - South Africa will disclose later today new arrangements for its repayment of foreign debt  the Finance Ministry said     Finance Minister Barend du Plessis will announce details at a news conference at 1500 gmt  a spokesman said     Sources close to the ministry said South African negotiators had worked out a favorable agreement on repayment of 13 billion dlrs of debt after a standstill agreement expires on June 30     The sources said a South African delegation led by chief debt negotiator Chris Stals  director-general of finance  was completing meetings in London today with foreign creditor banks     As far as South Africa is concerned  it looks like very good news  one source said  REUTER 3
Neg-,2 PORTUGUESE GRAIN AGENCY BAN TO REMAIN - EC SOURCES     BRUSSELS  March 24 - A ban by a Portuguese court on the state buying agency EPAC taking part in cereals import tenders open to private traders will remain unless it is reversed in Portugal or challenged in the European Court of Justice  European Commission sources said     They denied a statement yesterday by Portuguese Agriculture Minister Alvaro Barreto that the commission had accepted that EPAC should be eligible  saying it had taken no view in the matter     Under the terms of Portugals accession to the European Community  a grain import monopoly held by EPAC is being reduced by 20 pct annually until all imports are liberalised in 1990     Lisbons civil court decided in a preliminary ruling earlier this month that EPAC should not be allowed to take part  as it had done in the past  in tenders for the liberalised share of annual grain imports  REUTER 3
Neg-,2 AMERICAN CAN ISSUING 150 MLN DLR CONVERTIBLE BOND     LONDON  March 24 - American Can Co ltACN is issuing a 150 mln dlr convertible eurobond due April 22  2002 carrying an indicated coupon of 5-12 to 5-78 pct priced at par  lead manager Morgan Stanley International said     Terms will be set this week with a conversion premium of 25 to 28 pct The bond is available in denominations of 1 000 and 10 000 dlrs and be listed in Luxembourg     There is no call for three years  subsequently at par plus the coupon  declining by equal amounts per annum until 1997     Fees comprise 1-12 pct selling concession and one pct management and underwriting combined  REUTER 3
